ID;Comment;SH;Standox;Profiline;Brulex;Mobihel;Normex;NOMIX;REIZ;PPG;NEXA;Debeer;Maxmeyer;Sikkens;Lesonal;Kapci;DuPont;Challenger;Duxone;Vika;RockPaint;YatuEasiCoat;Hebake;RM;GreenLine;QuickLine;Lechler;General
104;P;592;802;835;202;430;792;80;P52;956;PP09;563;60;941M;92P;930;76?;360;82 725 271;8210;4325;P61;681;1265;867;84;122;773
105;P;PP601;;;;;;;P51;;;;;943M;191P;935;;;;;;;;;;;128;
106;P;;;;;;;;;;;;;952M;199P;943;728;;;;;;;;;;;
107;P;;;;;;;;;;;;;954M;192P;975;;;;;;;;58L;;;;
108;P;;;;;;;;;;;;;;;;;;;;;;;;;;177;
109;P;Мельче 572;;;;;;;P62;;;;;951F;197P;972;751;;;;;;;;;;172;
110;p;572;824;844;217;481;772;93;P61;957;PP65;562;66;954S;95P;970;75;354;5261;8207;4316;P40;687;54L;;;;777
111;P;593;803;855;203;470;793;92;;763;PP07;;40?;964R;293P;920;74;;;8206;4304;P30;682;1245;861;80;;778
112;P;561+PP502;;;;;;;P70;;;;;;;;;;;;;;;;;;;
113;P;;;;;;;;;;;;;;;;;;;;;;;;;;174;
114;P;561;823;845;215;480;761;95;;;;564;63;954G 954M;290P;976 977;756;358;5263;8209;4323;;686;45L;837;;;767
115;P;563;825;853;208;471;763;91;P71;;PP63;561;40;964H+ 964R;292P;920+ 925;;352;5251;;4310;;688;118;882;86;162;766
116;P;587;839;854;211;472;787;90;P72;943;PP63;;70;964H;292P;925;741;;;;4308;P31;693;;;86;;
117;P;;;;;;;;;;;;;;;;;356;5262;8208;;;;;;;;
118;P;568;821;464;209;460;768;98;P81;958;PP64;565;54;975S;96P;960;76?;370;52 825 281;8211;4315;P70;685;34M;862;81;152;774
119;SP;576;895;693;150 185;416;476;83;;983;HE05;;;;;;;;;;;;;71V;835;;;764
120;SP;580;894;;222;;;;;;;;;;;;;;;;;;;;;;;
121;SP;590;888;;;;;;;;;;;;;;;;;;;;;;;;;
122;Xi;596;826;817;216;500;796;42;X12;PRLX2;XR10;571;SBX1;911H;91X;917;735;390;5300;8300;4330;PX1;721;1190;886;1;;872
123;;;;;;;;;;;;;SBX4;;;;;;;;;;;;;4;;
124;;;;;;;;46;;;;;;;;;;;;;;;;;;;;
125;Xi;597;827;821;210;503;797;43;X30;PRLX1;XR12;569;SBX5;923H;92X;947;725;391;5301;8301;;PX5;722;1815;888;5;195;875
126;Xi;584;844;836;220;502;784;48;X33;PRLX7;XR16;;SBX3;933F;;;775;395;5305;8305;;PX7;724;73L;;3;;870
127;Xi;583;843;837;213;501;783;44;X50;PRLX3;XR11;573;SBX2;941H;90X;931;765;394;5304;8304;;PX6;723;62L;887;2;;873
128;Xi;598;846;847;212;505;798;47;X60;PRLX5;XR17;574;SBX9;951H;;971;755;393;5304;8303;;PX4;726;57M;880;7;;877
129;Xi;585;845;857;214;504;785;45;X70;PRLX4;XR13;572;SBX7;961H;94X;926;745;392;5302;8302;;PX3;725;47M;881;6;;878
